time,cumm_vehicles_left,cumm_vehicles_right,density_left,density_right,vehicles_left,vehicles_right
883.44,2062,2001,0.26489527977492966,0.1256719225945171,1013,1002
883.48,2062,2001,0.27680872494876874,0.133249716299349,1049,999
883.52,2062,2001,0.26694453127713524,0.1466284417368452,1013,1002
883.5600000000001,2062,2002,0.2671043034281546,0.1560652212865078,1049,1000
883.6,2062,2002,0.26820881525476714,0.17844024368392764,1013,1002
883.64,2062,2002,0.27101524782049946,0.17991847339186529,1049,1000
883.6800000000001,2062,2002,0.26995936230071893,0.1526906767007108,1013,1002
883.72,2062,2002,0.2777604112396235,0.11479424236994562,1049,1000
883.76,2062,2002,0.264742454239172,0.11217374425132887,1013,1002
883.8000000000001,2063,2002,0.2511687680177833,0.11844502180015526,1050,1000
883.84,2063,2002,0.2410753360425133,0.12813563877441314,1013,1002
883.88,2063,2002,0.23771317425584382,0.13902078480559044,1050,1000
883.9200000000001,2063,2002,0.2290785314855337,0.14862181210057934,1013,1002
883.96,2063,2003,0.22118022993296516,0.16668906408648387,1050,1001
884.0,2063,2003,0.21023931089576608,0.17963477274084694,1013,1002
884.04,2063,2004,0.20169497412385817,0.15890222779669116,1050,1002
884.08,2063,2004,0.19312285089090342,0.14176820163650483,1013,1002
884.12,2063,2004,0.18809350144142267,0.1399913396643373,1050,1002
884.16,2063,2004,0.1805008509603696,0.145284596547811,1013,1002
884.2,2063,2004,0.17711784932791497,0.14525473332138805,1050,1002
884.24,2063,2004,0.17305407939981243,0.12746371617989605,1013,1002
884.28,2063,2004,0.16894862978013958,0.11641432240339245,1050,1002
884.32,2063,2004,0.16288423465666357,0.12705309681658006,1013,1002
884.36,2064,2004,0.16514188461672052,0.13287642596906168,1051,1002
884.4,2064,2004,0.16307873988399157,0.14520247267514785,1013,1002
884.44,2064,2004,0.16475287416206452,0.16428507435943385,1051,1002
884.48,2065,2004,0.16992810253204127,0.17587200621155108,1014,1002
884.52,2065,2004,0.16341217741655378,0.16677118795914714,1051,1002
884.5600000000001,2065,2005,0.17931297975061655,0.133981365346712,1014,1003
884.6,2065,2005,0.2041540759265048,0.12569432001433434,1051,1002
884.64,2065,2005,0.2133861276093224,0.1334512930777041,1014,1003
884.6800000000001,2065,2005,0.21937410996491957,0.1381174222062952,1051,1002
884.72,2065,2005,0.2101837379736723,0.13198799498297797,1014,1003
884.76,2066,2005,0.20087527352297596,0.12263333930597864,1052,1002
884.8000000000001,2066,2005,0.19214337813900173,0.10923968225527081,1014,1003
884.84,2066,2005,0.18655135285332225,0.11599623723347074,1052,1002
884.88,2066,2005,0.1778750303914418,0.12818043361404763,1014,1003
884.9200000000001,2066,2006,0.16783717133826548,0.1352206892432658,1052,1003
884.96,2067,2006,0.1626827828140739,0.15439288060682077,1015,1003
885.0,2067,2006,0.15447188357472819,0.1486516753270023,1052,1003
885.04,2067,2006,0.1493661213573686,0.139207429970734,1015,1003
885.08,2067,2006,0.14958146643048176,0.11498088753508928,1052,1003
885.12,2067,2006,0.15056788579764513,0.12258854446634415,1015,1003
885.16,2067,2006,0.14267653086033827,0.13088305560532765,1052,1003
885.2,2067,2006,0.14337119238650964,0.13834139640446752,1015,1003
885.24,2067,2006,0.13837657601333753,0.14670309980290275,1052,1003
885.28,2067,2006,0.13038102184710498,0.15557994385713436,1015,1003
885.32,2067,2006,0.13791809940606437,0.1642104162933763,1052,1003
885.36,2067,2007,0.13888367892744258,0.1725646538852058,1015,1004
885.4,2067,2007,0.13792504602132616,0.18815325807800276,1052,1003
885.44,2067,2007,0.1505331527213365,0.20179328674670016,1015,1004
885.48,2067,2007,0.16182140252162136,0.21517201218419635,1052,1003
885.52,2067,2008,0.1615574311416762,0.22440721495550375,1015,1005
885.5600000000001,2067,2008,0.15743808829147998,0.20670578749328072,1052,1003
885.6,2067,2008,0.1561668576985864,0.17786537657528523,1015,1005
885.64,2067,2009,0.17097704143656,0.16665920086006092,1052,1004
885.6800000000001,2068,2009,0.20014587892049596,0.16652481634115746,1016,1005
885.72,2068,2009,0.20952380952380956,0.19267007107447887,1052,1004
885.76,2068,2009,0.21933937688861105,0.16598727826554383,1016,1005
885.8000000000001,2068,2009,0.2205203014831023,0.1521755360449143,1052,1004
885.84,2068,2009,0.2112535167239763,0.12697843875052262,1016,1005
885.88,2069,2009,0.20404987669757912,0.10803022158514008,1053,1004
885.9200000000001,2069,2009,0.20389010454655965,0.11368183718568958,1016,1005
885.96,2069,2009,0.19469973255531248,0.11977393537597802,1053,1004
886.0,2069,2009,0.18588447778819772,0.12617213163710206,1016,1005
886.04,2069,2009,0.18255704907783687,0.13672878217762652,1053,1004
886.08,2069,2010,0.17737487409259833,0.15080182762945704,1016,1006
886.12,2069,2010,0.16899725608697158,0.16635310278922533,1053,1004
886.16,2069,2010,0.1621340002083984,0.17608104879651199,1016,1006
886.2,2069,2010,0.1643708103226703,0.19229678074419165,1053,1004
886.24,2070,2011,0.19155291584175616,0.1948052917637222,1017,1007
886.28,2070,2011,0.2126081067000104,0.19530550080630715,1053,1004
886.32,2071,2011,0.22709874613594527,0.19208773815923075,1018,1007
886.36,2071,2011,0.24818172345524647,0.19974765573672582,1053,1004
886.4,2071,2011,0.24600048626306836,0.17897778175954127,1018,1007
886.44,2071,2011,0.23760202841165645,0.1671668757092516,1053,1004
886.48,2071,2012,0.22651523045396127,0.1727139700173207,1018,1008
886.52,2071,2012,0.22059671425098126,0.201651436421191,1053,1004
886.5600000000001,2071,2012,0.21312215622937725,0.1963208505046885,1018,1008
886.6,2071,2012,0.2120801639401202,0.19012423102191955,1053,1004
886.64,2071,2013,0.21597026848667988,0.16523323179836347,1018,1009
886.6800000000001,2071,2013,0.22438956618387695,0.17467001134802607,1053,1004
886.72,2072,2014,0.2229099371331319,0.19272233172071906,1019,1010
886.76,2072,2014,0.2287381473377097,0.17272890163053212,1053,1004
886.8000000000001,2072,2014,0.22877982702928001,0.15480349997013676,1019,1010
886.84,2073,2014,0.21890868674238473,0.138796810607418,1054,1004
886.88,2073,2014,0.20903059984022787,0.13852804156961118,1019,1010
886.9200000000001,2073,2014,0.19783265603834532,0.13569850086603352,1054,1004
886.96,2073,2014,0.18600257024764688,0.12491787612733685,1019,1010
887.0,2073,2015,0.17868083776180055,0.13524308666308305,1054,1005
887.04,2073,2015,0.17401965892119065,0.15001045212924802,1019,1010
887.08,2073,2015,0.16737869473099232,0.13577315893209108,1054,1005
887.12,2073,2015,0.15836198812128788,0.132779370483187,1019,1010
887.16,2073,2015,0.15200583515681987,0.1199680463477274,1054,1005
887.2,2073,2015,0.1477128269250808,0.13123394851579762,1019,1010
887.24,2073,2015,0.14264179778402974,0.13886400286686973,1054,1005
887.28,2073,2015,0.15702823799103882,0.1506823747237651,1019,1010
887.32,2073,2016,0.1690875620853739,0.16174670011348025,1054,1006
887.36,2073,2016,0.19112222569552983,0.17501343845189032,1019,1010
887.4,2073,2016,0.1925462818241812,0.18439795735531261,1054,1006
887.44,2074,2016,0.21788753429891283,0.19428268530131998,1020,1010
887.48,2074,2016,0.24347886492306625,0.1995834079913994,1054,1006
887.52,2074,2016,0.24407627383557362,0.19364809173983155,1020,1010
887.5600000000001,2075,2017,0.24766767392587963,0.20263692289314938,1055,1007
887.6,2075,2017,0.23958181376124488,0.22706504210714928,1020,1010
887.64,2076,2017,0.22982181931853707,0.23435913516096274,1056,1007
887.6800000000001,2076,2017,0.22695981383071095,0.22594517111628742,1020,1010
887.72,2076,2017,0.21436560036122398,0.18704831870035243,1056,1007
887.76,2076,2018,0.20829425862248618,0.1882279161440602,1020,1011
